fipsCode,elev_mean,elev_std,elev_min,elev_max,elev_range,elev_p90_p10,tri_km,slope_pct,ers_topo_code,ers_pct_water
42117,523.3,84.12567273763295,312.0,723.0,411.0,207.59999999999997,66.95,2.7811443451354405,16,0.31
42119,298.56666666666666,164.6062962597773,142.0,625.0,483.0,387.2,60.93333333333333,3.02130904671509,16,0.12
42121,431.0833333333333,44.10630135489757,298.0,505.0,207.0,99.2,32.916666666666664,1.1430647197779282,15,1.17
42123,509.5833333333333,66.73684512452728,340.0,627.0,287.0,155.3,52.61666666666667,1.980876980729518,15,1.6
42125,345.95,32.36257778172138,231.0,414.0,183.0,69.30000000000001,33.266666666666666,1.169448629664971,19,0.45
42127,453.9,92.41371605586606,294.0,647.0,353.0,273.20000000000005,52.1,1.961468066278599,15,2.83
42129,417.93333333333334,128.04777533546445,224.0,833.0,609.0,303.0,68.91666666666667,2.1029400848414626,19,1.34
42131,430.4166666666667,163.09270439228328,179.0,707.0,528.0,428.2,73.2,4.357897342204493,16,1.88
42133,183.63333333333333,52.39063400144578,118.0,401.0,283.0,120.39999999999998,34.583333333333336,1.4562913540480733,10,0.63
54001,514.2166666666667,95.43887770993052,323.0,843.0,520.0,206.0000000000001,47.31666666666667,3.760073619300008,20,0.57
54003,202.88333333333333,77.53885667060942,113.0,424.0,311.0,212.3,30.1,1.6286929084386017,16,0.13
